district,primary_energy_per_capita,total_power_demand,population,shortage_indicator,rainfall,rurality
Colombo,0.4974321684611456,2.9649435359770244,2.497135739597971,0.0075636574972947,-0.4192742074041088,3.0
Gampaha,0.4974321684611456,2.2648933362003234,2.5601581237255644,0.3587483947475683,0.6814035936639039,2.0
Kalutara,-0.2367844396027606,1.862682544887805,0.7635705280386701,-0.1329102374028169,-0.4422805673918894,2.0
Kandy,0.4974321684611456,0.4829471926235321,0.9090289852304893,0.2182744998474566,0.9116159136877806,2.0
Matale,-0.2367844396027606,-0.2451051190062377,-0.5373472704832497,0.2182744998474566,-1.068010882843695,1.0
Nuwara Eliya,-0.2367844396027606,-0.0694561470150675,-0.1798412418185775,0.3587483947475683,0.1580961962015437,1.0
Kegalle,-0.2367844396027606,-0.7313217876632533,0.0788479099028832,-0.0626732899527611,-0.6763143485604489,1.0
Ratnapura,-0.2367844396027606,-0.3062004136118622,0.2898672025670598,0.2182744998474566,1.999639570153184,1.0
Jaffna,-0.2367844396027606,-0.6091311984520045,-0.3850509383563815,0.0075636574972947,-0.7692127111080724,1.0
Kilinochchi,-0.9709991589239872,-0.8433297768608192,-1.166051982090616,0.0075636574972947,-1.0476297567387247,1.0
Mullaitivu,-0.9709991589239872,-0.7949627704568577,-1.164928757677654,0.0778006049473477,-0.4041952778112183,1.0
Mannar,-0.9709991589239872,-0.4182084028094281,-1.18286272832863,0.2885114472975124,-0.1493859388459364,1.0
Vavuniya,-0.9709991589239872,-0.6218593339154307,-1.0627583303340202,-0.0626732899527611,-0.106431681004782,1.0
Kurunegala,-0.2367844396027606,0.6509592527889992,1.1974952281676652,-0.1329102374028169,-0.00452605047993,2.0
Puttalam,-0.2367844396027606,0.0145498830676659,-0.2627932457136375,-0.1329102374028169,-0.4177870059434035,1.0
Ampara,-0.2367844396027606,-0.4640298737636465,-0.4019745444636406,-0.1329102374028169,0.6119836159155023,1.0
Batticaloa,-0.2367844396027606,-0.4538472737499636,-0.5625633898402709,0.1480375523974036,1.3713228173784129,1.0
Trincomalee,-0.2367844396027606,-0.5836747747869155,-0.7897180609534875,0.0075636574972947,-1.0029813824510276,1.0
Galle,-0.2367844396027606,-0.2400137426302781,0.3191032829809973,-0.1329102374028169,-0.484846859634599,2.0
Matara,-0.2367844396027606,-0.1229145297949889,0.0326738919697189,0.2182744998474566,-0.5837780872380405,1.0
Hambantota,-0.2367844396027606,-0.1763729125749103,-0.5155205300565698,-0.3436210797529788,-0.4100858888142728,1.0
Badulla,-0.2367844396027606,-0.4996687447041819,-0.0365611592458361,0.0075636574972947,0.5953075612756801,1.0
Monaragala,-0.9709991589239872,-0.5836747747869155,-0.6294355495076651,-0.2733841323029256,-0.2968581289081382,1.0
Anuradhapura,-0.2367844396027606,-0.283289678134753,0.0386536736132069,0.2885114472975124,0.5250017287441628,1.0
